,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
16641,-37.012,148.3,304.9,1.1,1.0,2019-12-30,1310,Terra,MODIS,29,6.0NRT,294.5,4.7,N
16642,-14.581,131.224,342.9,1.3,1.1,2019-10-19,1405,Terra,MODIS,100,6.0NRT,300.3,61.5,N
16643,-19.802,143.342,314.4,2.2,1.4,2019-12-23,1615,Aqua,MODIS,89,6.0NRT,298.6,28.8,N
16644,-35.978,148.31799999999998,338.5,1.1,1.1,2020-01-02,0,Terra,MODIS,40,6.0NRT,300.2,40.7,D
16645,-17.067,137.733,333.9,1.0,1.0,2019-12-30,100,Terra,MODIS,65,6.0NRT,305.5,16.4,D
16646,-17.859,142.519,321.2,1.1,1.0,2019-12-16,1300,Terra,MODIS,100,6.0NRT,298.8,15.9,N
16647,-20.051,121.02799999999999,350.1,1.0,1.0,2019-12-18,215,Terra,MODIS,92,6.0NRT,323.4,32.8,D
16648,-14.955,127.249,343.0,1.0,1.0,2019-11-13,145,Terra,MODIS,84,6.0NRT,320.8,22.4,D
16649,-13.368,142.019,322.6,1.8,1.3,2019-10-08,30,Terra,MODIS,59,6.0NRT,305.4,18.5,D
16650,-13.989,132.632,344.5,2.0,1.4,2019-12-24,425,Aqua,MODIS,69,6.0NRT,310.5,92.2,D
16651,-32.748000000000005,151.0,327.2,1.4,1.2,2019-12-26,410,Aqua,MODIS,50,6.0NRT,303.1,20.8,D
16652,-37.625,148.181,444.9,1.1,1.0,2019-12-30,1310,Terra,MODIS,100,6.0NRT,322.4,0.0,N
16653,-30.866,152.207,320.1,1.0,1.0,2019-10-17,1235,Terra,MODIS,55,6.0NRT,285.5,18.8,N
16654,-32.054,151.435,306.8,1.0,1.0,2020-01-03,1245,Terra,MODIS,35,6.0NRT,295.2,6.4,N
16655,-34.297,117.96600000000001,350.7,3.7,1.8,2019-12-28,300,Terra,MODIS,83,6.0NRT,306.2,334.6,D
16656,-30.011999999999997,152.763,331.3,1.1,1.0,2019-11-08,1510,Aqua,MODIS,100,6.0NRT,295.3,0.0,N
16657,-24.578000000000003,151.576,346.8,1.6,1.3,2019-12-04,25,Terra,MODIS,90,6.0NRT,304.5,92.3,D
16658,-35.8,147.595,339.6,1.8,1.3,2020-01-07,435,Aqua,MODIS,86,6.0NRT,297.3,67.8,D
16659,-13.844000000000001,131.116,381.1,1.8,1.3,2019-10-26,155,Terra,MODIS,100,6.0NRT,300.2,351.7,D
16660,-37.567,148.18200000000002,333.8,1.1,1.0,2020-01-02,415,Aqua,MODIS,86,6.0NRT,296.8,29.9,D
16661,-12.138,142.347,328.3,1.1,1.1,2019-10-06,40,Terra,MODIS,65,6.0NRT,305.8,11.2,D
16662,-37.583,148.009,311.7,1.5,1.2,2019-12-22,1535,Aqua,MODIS,83,6.0NRT,284.5,23.4,N
16663,-33.009,150.015,317.1,1.5,1.2,2019-12-30,1310,Terra,MODIS,94,6.0NRT,297.8,22.4,N
